"name"	"common_name"
YARROW (ACHILLEA MILLEFOLIUM VAR. OCCIDENTALIS) [HOC]	""
CARPENTER'S WEED WHOLE	""
ACHILLEA CORONOPIFOLIA WHOLE	""
ACHILLEA HAENKEANA WHOLE	""
ACHILLEA MILLEFOLIUM HERB [WHO-DD]	""
ACHILLEA CALIFORNICA WHOLE	""
ACHILLEA TOMENTOSA WHOLE	""
CHAMAEMELUM MILLEFOLIUM WHOLE	""
YARROW (ACHILLEA MILLEFOLIUM) [HOC]	""
ACHILLEA MILLEFOLIUM [WHO-DD]	""
ACHILLEA MEGACEPHALA WHOLE	""
ACHILLEA ARENICOLA WHOLE	""
ACHILLEA MILLEFOLIUM VAR. OCCIDENTALIS WHOLE	""
COMMON YARROW WHOLE	""
ACHILLEA COMPACTA WHOLE	""
ACHILLEA FUSCA WHOLE	""
ACHILLEA ERADIATA WHOLE	""
ACHILLEA DENTIFERA WHOLE	""
ACHILLEA MILLEFOLIUM HERB	""
ACHILLEA MILLEFOLIUM WHOLE	""
ACHILLEA PACIFICA WHOLE	""
ALITUBUS TOMENTOSUS WHOLE	""
ACHILLEA SUBALPINA WHOLE	""
ACHILLEA SETACEA WHOLE	""
ACHILLEA MAGNA WHOLE	""
ACHILLEA OCHROLEUCA WHOLE	""
YARROW WHOLE	""
ACHILLEA CERETANICA WHOLE	""
DEVIL'S NETTLE WHOLE	""
CHAMAEMELUM TANACETIFOLIUM WHOLE	""
ACHILLEA INTERMEDIA WHOLE	""
ACHILLEA NABELEKII WHOLE	""
ACHILLEA PALMERI WHOLE	""
ACHILLEA POLYPHYLLA WHOLE	""
ALITUBUS MILLEFOLIUM WHOLE	""
ACHILLEA MARGINATA WHOLE	""
BLOODWORT WHOLE	""
ACHILLEA PSEUDOTANACETIFOLIA WHOLE	""
ALCHEMILLA MAGNA WHOLE	""
ACHILLEA MILLEFOLIUM L.	""
ACHILLEA LANULOSA WHOLE	""
ACHILLEA SORDIDA WHOLE	""
ACHILLEA TENUIS WHOLE	""
ACHILLEA VIRGATA WHOLE	""
ACHILLEA CRASSIFOLIA WHOLE	""
YARROW [HOC]	""
ACHILLEA ALBIDA WHOLE	""
ACHILLEA PUBERULA WHOLE	""
ACHILLEA SUBMELLIFOLIUM WHOLE	""
ACHILLEA MILLEFOLIUM	""
ACHILLEA SYLVATICA WHOLE	""
ACHILLEA ANGUSTISSIMA WHOLE	""
ACHILLEA NOBILIS L.	""
ACHILLEA PUBESCENS WHOLE	""
NOBLE YARROW WHOLE	""
ACHILLEA HISPANICA WHOLE	""
ACHILLEA FRUTICULOSA WHOLE	""
ACHILLEA SCHKUHRII WHOLE	""
CHAMAEMELUM ACHILLEUM WHOLE	""
ACHILLEA ODORATA WHOLE	""
ACHILLEA NOBILIS WHOLE	""
ACHILLEA ERIDANIA WHOLE	""
ACHILLEA LIGUSTICA WHOLE	""
ACHILLEA GERBERI WHOLE	""
ACHILLEA PAUCIDENTATA WHOLE	""
ACHILLEA CAMPHORATA WHOLE	""
ACHILLEA CORYMBIFERA WHOLE	""
ACHILLEA PECTINATA WHOLE	""
ACHILLEA GRATA WHOLE	""
ACHILLEA DECIPIENS WHOLE	""
ACHILLEA CYLINDRICA WHOLE	""
ACHILLEA PUNCTATA WHOLE	""
CHAMAEMELUM GERBERI WHOLE	""
CALAMUS [HOC]	""
CALAMUS AROMATICUS WHOLE	""
CALAMUS WHOLE	""
ACORUS WHOLE	""
ACORUS CALAMUS [WHO-DD]	""
SWEET FLAG WHOLE	""
SWEET-FLAG WHOLE	""
VACHA WHOLE	""
ACORUS CALAMUS WHOLE	""
SWEET CALAMUS WHOLE	""
SWEETFLAG WHOLE	""
ACORUS CALAMUS L.	""
BOTROPHIS PUMILA WHOLE	""
ACTAEA RACEMOSA L.	""
MACROTRYS ACTAEOIDES WHOLE	""
RATTLEWHOLE	""
CIMICIFUGA RACEMOSA WHOLE	""
BLACK SNAKEROOT WHOLE	""
FAIRY CANDLE WHOLE	""
ACTAEA GYROSTACHYA WHOLE	""
BLACK BUGBANE WHOLE	""
RHEUMATISM WEED WHOLE	""
BOTROPHIS ACTAEOIDES WHOLE	""
BLACK COHOSH [HOC]	""
BLACK BANEBERRY WHOLE	""
ACTAEA MONOGYNA WHOLE	""
ACTAEA ORTHOSTACHYA WHOLE	""
ACTAEA RACEMOSA WHOLE	""
MACROTRYS RACEMOSA WHOLE	""
THALICTRODES RACEMOSA WHOLE	""
BLACK COHOSH WHOLE	""
ADIANTUM LATIFOLIUM LAM.	""
ADIANTUM LATIFOLIUM WHOLE	""
BROADLEAF MAIDENHAIR WHOLE	""
ADIANTUM FOVEARUM WHOLE	""
AESCULUS CASTANEA WHOLE	""
HORSE CHESTNUT [HOC]	""
HIPPOCASTANUM AESCULUS WHOLE	""
AESCULUS HIPPOCASTANUM L.	""
AESCULUS HIPPOCASTANUM WHOLE	""
AESCULUS MEMMINGERI	""
AESCULUS SEPTENATA WHOLE	""
