"common_name"	"latin_binomial"
EUTERPE OLERACEA	EUTERPE OLERACEA
RUBUS URSINUS	RUBUS URSINUS
COLEUS	PLECTRANTHUS AMBOINICUS
GUGGUL	COMMIPHORA MUKUL
CAPSELLA BURSA-PASTORIS	CAPSELLA BURSA-PASTORIS
XANTHIUM STRUMARIUM	XANTHIUM STRUMARIUM
LUDWIGIA PEPLOIDES	LUDWIGIA PEPLOIDES
JUNCUS TORREYI	JUNCUS TORREYI
SCHIZACHYRIUM SCOPARIUM	SCHIZACHYRIUM SCOPARIUM
THAPSIA GARGANICA	THAPSIA GARGANICA
GREWIA VILLOSA	GREWIA VILLOSA
CAMPSIS RADICANS	CAMPSIS RADICANS
GLYCYRRHIZA URALENSIS	GLYCYRRHIZA URALENSIS
PINUS PALUSTRIS	PINUS PALUSTRIS
RHEUM AUSTRALE	RHEUM AUSTRALE
VICIA FABA	VICIA FABA
LIMONIUM NARBONENSE	LIMONIUM NARBONENSE
EICHHORNIA CRASSIPES	EICHHORNIA CRASSIPES
MONESES UNIFLORA	MONESES UNIFLORA
LEPIDIUM DRABA	LEPIDIUM DRABA
PEUMUS BOLDUS	PEUMUS BOLDUS
MENTHA SPICATA	MENTHA SPICATA
VITIS VINIFERA	VITIS VINIFERA
GALEGA OFFICINALIS	GALEGA OFFICINALIS
LONICERA JAPONICA	LONICERA JAPONICA
GALIUM APARINE	GALIUM APARINE
VACCINIUM MYRSINITES	VACCINIUM MYRSINITES
AFRAMOMUM MELEGUETA	AFRAMOMUM MELEGUETA
PLANTAGO MAJOR	PLANTAGO MAJOR
TURNERA DIFFUSA	TURNERA DIFFUSA
NEPETA HINDOSTANA	NEPETA HINDOSTANA
PLANTAGO ARISTATA	PLANTAGO ARISTATA
SAMBUCUS EBULUS	SAMBUCUS EBULUS
SPHYRNA LEWINI	SPHYRNA LEWINI
ASCLEPIAS PERENNIS	ASCLEPIAS PERENNIS
PLECTRANTHUS ESCULENTUS	PLECTRANTHUS ESCULENTUS
BALLOTA NIGRA	BALLOTA NIGRA
CYCLAMEN HEDERIFOLIUM	CYCLAMEN HEDERIFOLIUM
