latin_binomial,common_name,latin_binomial_clean,common_name_clean
Cinnamomum camphora,Kuso-no-ki,CINNAMOMUM CAMPHORA,KUSONOKI
Cinnamomum cassia,Cassia,CINNAMOMUM CASSIA,CASSIA
Cinnamomum cassia,Cassia cinnamon,CINNAMOMUM CASSIA,CASSIA CINNAMON
Cinnamomum cassia,Chinese cinnamon,CINNAMOMUM CASSIA,CHINESE CINNAMON
Cinnamomum cassia,Chinese cinnamon tree,CINNAMOMUM CASSIA,CHINESE CINNAMON TREE
Cinnamomum cassia,Rou gui,CINNAMOMUM CASSIA,ROU GUI
Cinnamomum verum,Ceylon cinnamon,CINNAMOMUM VERUM,CEYLON CINNAMON
Cinnamomum verum,Cinnamon,CINNAMOMUM VERUM,CINNAMON
Cinnamomum verum,True cinnamon,CINNAMOMUM VERUM,TRUE CINNAMON
Cinnamomum verum,Tvak,CINNAMOMUM VERUM,TVAK
Cistus creticus,Hairyrockrose,CISTUS CRETICUS,HAIRYROCKROSE
Citrullus lanatus,Watermelon,CITRULLUS LANATUS,WATERMELON
Citrus aurantium,Bitter orange,CITRUS AURANTIUM,BITTER ORANGE
Citrus aurantium,Seville orange,CITRUS AURANTIUM,SEVILLE ORANGE
Citrus aurantium,Suan cheng,CITRUS AURANTIUM,SUAN CHENG
Citrus reticulata,Ju,CITRUS RETICULATA,JU
Citrus reticulata,Mandarin orange,CITRUS RETICULATA,MANDARIN ORANGE
Citrus reticulata,Tangerine,CITRUS RETICULATA,TANGERINE
Citrus sinensis,Blood orange,CITRUS SINENSIS,BLOOD ORANGE
Citrus sinensis,Navel orange,CITRUS SINENSIS,NAVEL ORANGE
Citrus sinensis,Red orange,CITRUS SINENSIS,RED ORANGE
Citrus sinensis,Sweet orange,CITRUS SINENSIS,SWEET ORANGE
Citrus sinensis,Tian cheng,CITRUS SINENSIS,TIAN CHENG
Citrus sinensis,Valencia orange,CITRUS SINENSIS,VALENCIA ORANGE
Codonopsis pilosula,Bellflower,CODONOPSIS PILOSULA,BELLFLOWER
Codonopsis pilosula,Dang shen,CODONOPSIS PILOSULA,DANG SHEN
Cola nitida,Bitter cola,COLA NITIDA,BITTER COLA
Cola nitida,Gbanja kola,COLA NITIDA,GBANJA KOLA
Cola nitida,Kola,COLA NITIDA,KOLA
Commiphora mukul,Guggul,COMMIPHORA MUKUL,GUGGUL
Commiphora mukul,Gugul,COMMIPHORA MUKUL,GUGUL
Commiphora mukul,Indian bdellium-tree,COMMIPHORA MUKUL,INDIAN BDELLIUMTREE
Conyza canadensis,Butterweed,CONYZA CANADENSIS,BUTTERWEED
Conyza canadensis,Canadian horseweed,CONYZA CANADENSIS,CANADIAN HORSEWEED
Coptis chinensis,Chinese goldthread,COPTIS CHINENSIS,CHINESE GOLDTHREAD
Coptis chinensis,Golden thread,COPTIS CHINENSIS,GOLDEN THREAD
Coptis chinensis,Huanglian,COPTIS CHINENSIS,HUANGLIAN
Coptis chinensis,Huang lian,COPTIS CHINENSIS,HUANG LIAN
Cordyceps militaris,Cordycepsmilitaris,CORDYCEPS MILITARIS,CORDYCEPSMILITARIS
Coriandrum sativum,Chinese parsley,CORIANDRUM SATIVUM,CHINESE PARSLEY
Coriandrum sativum,Chinese-parsley,CORIANDRUM SATIVUM,CHINESEPARSLEY
Coriandrum sativum,Cilantro,CORIANDRUM SATIVUM,CILANTRO
Coriandrum sativum,Coriander,CORIANDRUM SATIVUM,CORIANDER
Coriandrum sativum,Parsley- Chinese,CORIANDRUM SATIVUM,PARSLEY CHINESE
Cornus officinalis,Asiatic cornelian cherry,CORNUS OFFICINALIS,ASIATIC CORNELIAN CHERRY
Cornus officinalis,Asiatic dogwood,CORNUS OFFICINALIS,ASIATIC DOGWOOD
Cornus officinalis,Shan zhu yu,CORNUS OFFICINALIS,SHAN ZHU YU
Corylus avellana,Cobnut,CORYLUS AVELLANA,COBNUT
Corylus avellana,European filbert,CORYLUS AVELLANA,EUROPEAN FILBERT
Corylus avellana,European hazel,CORYLUS AVELLANA,EUROPEAN HAZEL
Corylus avellana,Giant filbert,CORYLUS AVELLANA,GIANT FILBERT
Corylus avellana,Hazel,CORYLUS AVELLANA,HAZEL
Corylus avellana,Hazelnut tree,CORYLUS AVELLANA,HAZELNUT TREE
Crataegus laevigata,English hawthorn,CRATAEGUS LAEVIGATA,ENGLISH HAWTHORN
Crataegus laevigata,Hawthorn,CRATAEGUS LAEVIGATA,HAWTHORN
Crataegus laevigata,Maytree,CRATAEGUS LAEVIGATA,MAYTREE
Crataegus laevigata,Two-style hawthorn,CRATAEGUS LAEVIGATA,TWOSTYLE HAWTHORN
Crataegus laevigata,Whitethorn,CRATAEGUS LAEVIGATA,WHITETHORN
Crataegus laevigata,Woodland hawthorn,CRATAEGUS LAEVIGATA,WOODLAND HAWTHORN
Crataegus monogyna,Hawthorn,CRATAEGUS MONOGYNA,HAWTHORN
Crataegus monogyna,Oneseed hawthorn,CRATAEGUS MONOGYNA,ONESEED HAWTHORN
Crataegus monogyna,One-style hawthorn,CRATAEGUS MONOGYNA,ONESTYLE HAWTHORN
Crithmum maritimum,Rock samphire,CRITHMUM MARITIMUM,ROCK SAMPHIRE
Crithmum maritimum,Sea-fennel,CRITHMUM MARITIMUM,SEAFENNEL
Cuminum cyminum,Cumin,CUMINUM CYMINUM,CUMIN
Curcuma longa,Common turmeric,CURCUMA LONGA,COMMON TURMERIC
Curcuma longa,Curcuma,CURCUMA LONGA,CURCUMA
Curcuma longa,Indian-saffron,CURCUMA LONGA,INDIANSAFFRON
Curcuma longa,Jianghuang,CURCUMA LONGA,JIANGHUANG
Curcuma longa,Turmeric,CURCUMA LONGA,TURMERIC
Curcuma longa,Yellow ginger,CURCUMA LONGA,YELLOW GINGER
Curcuma zedoaria,Karcura,CURCUMA ZEDOARIA,KARCURA
Cyperus rotundus,Coco-grass,CYPERUS ROTUNDUS,COCOGRASS
Cyperus rotundus,Nutgrass,CYPERUS ROTUNDUS,NUTGRASS
Cyperus rotundus,Nut-grass,CYPERUS ROTUNDUS,NUTGRASS
Cyperus rotundus,Nutgrass alingale,CYPERUS ROTUNDUS,NUTGRASS ALINGALE
Cyperus rotundus,Nut sedge,CYPERUS ROTUNDUS,NUT SEDGE
Cyperus rotundus,Purple nut sedge,CYPERUS ROTUNDUS,PURPLE NUT SEDGE
Cyperus rotundus,Red nut sedge,CYPERUS ROTUNDUS,RED NUT SEDGE
Cyperus rotundus,Suo cao,CYPERUS ROTUNDUS,SUO CAO
Cyperus rotundus,Xiangfu,CYPERUS ROTUNDUS,XIANGFU
Cyperus rotundus,Xiang fu zi,CYPERUS ROTUNDUS,XIANG FU ZI
Daucus carota,Carrot,DAUCUS CAROTA,CARROT
Dioscorea villosa,Chinaroot,DIOSCOREA VILLOSA,CHINAROOT
Dioscorea villosa,Wild yam,DIOSCOREA VILLOSA,WILD YAM
Diospyros virginiana,Americanpersimmon,DIOSPYROS VIRGINIANA,AMERICANPERSIMMON
Echinacea angustifolia,Black sampson,ECHINACEA ANGUSTIFOLIA,BLACK SAMPSON
Echinacea angustifolia,Black-sampson echinacea,ECHINACEA ANGUSTIFOLIA,BLACKSAMPSON ECHINACEA
Echinacea angustifolia,Echinacea,ECHINACEA ANGUSTIFOLIA,ECHINACEA
Echinacea angustifolia,Kansas snakeroot,ECHINACEA ANGUSTIFOLIA,KANSAS SNAKEROOT
Echinacea angustifolia,Narrow-leaf coneflower,ECHINACEA ANGUSTIFOLIA,NARROWLEAF CONEFLOWER
Echinacea angustifolia,Narrow-leaf echinacea,ECHINACEA ANGUSTIFOLIA,NARROWLEAF ECHINACEA
Echinacea angustifolia,Narrow-leaf purple-coneflower,ECHINACEA ANGUSTIFOLIA,NARROWLEAF PURPLECONEFLOWER
Echinacea purpurea,Eastern purple-coneflower,ECHINACEA PURPUREA,EASTERN PURPLECONEFLOWER
Echinacea purpurea,Echinacea,ECHINACEA PURPUREA,ECHINACEA
Echinacea purpurea,Purple-coneflower,ECHINACEA PURPUREA,PURPLECONEFLOWER
Eleutherococcus senticosus,Ci wu jia,ELEUTHEROCOCCUS SENTICOSUS,CI WU JIA
Eleutherococcus senticosus,Eleuthero,ELEUTHEROCOCCUS SENTICOSUS,ELEUTHERO
