"concept_id","np_name"
-7994147,ST. JOHNSWORT WHOLE
-7996253,ASTEROPHYLLUM GALIUM WHOLE
-7994271,ENGLISH HAWTHORN WHOLE
-7991554,GARDEN BEET
-7998588,CENTAURIUM CAPITATUM WHOLE
-7999300,CHURCH STEEPLES WHOLE
-7993734,DITREMEXA OCCIDENTALIS WHOLE
-7992471,GINKGO WHOLE
-7996347,ALPINIA OFFICINARUM HANCE
-7998879,QUEENS DELIGHT WHOLE
-7992410,COMMON FILBERT WHOLE
-7991339,MIMOSA JULIBRISSIN WHOLE
-7993451,SALVIA DIGYNA WHOLE
-7992993,MORINDA MUDIA WHOLE
-7997099,ANTELAEA AZADIRACHTA WHOLE
-7999355,ABIES DRUMMONDII WHOLE
-7993205,ROSA FRIVALDSKYI WHOLE
-7997024,AMERICAN PERSIMMON
-7991059,HAWTHORN
-7999205,LEPIDIUM AFFINE WHOLE
-7994205,SOY
-7996479,SOLANUM FLAMIGNII WHOLE
-7996920,"HU SUI, WHOLE"
-7994261,MESPILUS ELEGANS WHOLE
-7997708,GALIUM ACULEATISSIMUM WHOLE
-7992474,GINKGO BILOBA WHOLE
-7997136,ATRACTYLIS LANCEA WHOLE
-7990854,THYMUS MAJORANA WHOLE
-7996024,BURSA MEDITERRANEA WHOLE
-7991711,RHEUM ACUMINATUM HOOK.F. & THOMSON
-7998637,PINUS AUSTRALIS WHOLE
-7997332,SWEET GUM
-7990647,MEDICAGO AEGAGROPILA WHOLE
-7991188,BOBERELLA HALIMIFOLIA WHOLE
-7999008,HEDGEWEED WHOLE
-7992667,CITRUS X RESHNI WHOLE
-7990971,SASSAFRAS ALBIDUM
-7994895,PLANTAGO DREGEANA WHOLE
-7991837,SOLIDAGO ODORA WHOLE
-7991281,OLEA EUROPAEA WHOLE
-7992896,MOUNTAIN BALM
-7992908,PICEA PECTINATA WHOLE
-7995337,ARCTIUM LAPPA WHOLE
-7998251,UVA URSI
-7996637,ENDOPLECTRIS TRICOLOR WHOLE
-7996965,CRATAEGUS SUBINERMIS WHOLE
-7995231,QUEEN'S-ROOT
-7992668,CITRUS X RACEMOSA WHOLE
-7997006,DIOSPYROS VIRGINIANA WHOLE
-7994681,TOXICODENDRON CORIARIA WHOLE
-7991392,OLEANDER WHOLE
-7993944,GUILANDINA MORINGA WHOLE
-7993335,COMMON ONION WHOLE
-7994171,COMMON ST. JOHN'S WORT WHOLE
-7995411,BRASSICA PEKINENSIS WHOLE
-7991581,BETA HORTENSIS WHOLE
-7991928,CHINESE LICORICE
-7994006,CANADIANGOLDENROD
-7990835,JAPANESE VALERIAN WHOLE
-7994102,SCRUB-PALMETTO
-7997088,MARGOSA WHOLE
-7994800,PETROSELINUM HORTENSE WHOLE
-7995854,CAPSELLA SUBALGIDA WHOLE
-7999999,ASCLEPIAS GEMINATA WHOLE
-7996759,ANONIS SPINOSA WHOLE
-7995428,BIRD'S RAPE WHOLE
-7998934,ILEX PARAGUARIENSIS
-7992722,AURANTIUM X SILVESTRE WHOLE
-7992620,PASSIFLORA DIADEN WHOLE
-7997685,GALIUM UNCINATUM WHOLE
-7998691,JUGLANS NIGRA
-7993330,PORRUM CEPA WHOLE
-7996538,URTICA SUBMITIS WHOLE
-7997059,GALEGA TRICOLOR WHOLE
-7999100,CELANDINE WHOLE
-7991357,SCLAREA VULGARIS WHOLE
-7991391,ROSA LAUREL WHOLE
-7991105,BLACK-SAMPSON ECHINACEA
-7994251,QUICKTHORN WHOLE
-7994764,SANGUINARIA MESOCHORA WHOLE
-7993065,BIDENS VICIOSOI WHOLE
-7992679,CITRUS X KARNA WHOLE
-7993733,FEDEGOSO WHOLE
-7996281,SABINA VIRGINIANA WHOLE
-7993932,MORINGA OLEIFERA LAM.
-7995033,ULMUS CORITANA WHOLE
-7998880,QUEEN'S-DELIGHT WHOLE
-7993910,ARDRAKA WHOLE
-7997600,HOLLYLEAVED BARBERRY WHOLE
-7999864,CINNAMOMUM BIAFRANUM WHOLE
-7993172,ROSA ROUGEONENSIS WHOLE
-7999150,CHINESE THOROUGHWAX WHOLE
-7994462,SWEET SAGEWORT WHOLE
-7993584,GLYCYRRHIZA OFFICINALIS WHOLE
-7998769,GERMAN CHAMOMILE WHOLE
-7991758,FICUS CARICA L.
-7993553,ACHILLEA BICOLOR WHOLE
-7994964,APINELLA SESELIODES WHOLE
-7999436,ANEUSTAT COMPONENT GANODERMA LUCIDUM
-7990766,MENG ZI ZHANG YA CAI WHOLE
-7991812,MERTENSIA PULMONARIOIDES WHOLE
-7992672,CITRUS X OMIKANTO WHOLE
-7998952,OCIMUM SCUTELLARIOIDES WHOLE
-7999946,RUMEX ELONGATUS WHOLE
-7995920,CAPSELLA LAXA WHOLE
-7991198,SCOTCH HEATHER
-7991647,CANADIAN BLOODROOT
-7996530,AZEDARACH DELETERIA WHOLE
-7999975,MIRACLE FRUIT WHOLE
-7993507,ACHILLEA VIRGATA WHOLE
-7995694,BOLDUS CHILANUM WHOLE
-7996897,XYLARIA MILITARIS WHOLE
-7992597,ACER SEMIORBICULATUM WHOLE
-7995882,CAPSELLA PRAECOX WHOLE
-7998665,FOMES FOMENTARIUS
-7999612,GLYCINE HISPIDA WHOLE
-7991649,BLOODROOT
-7998574,CENTAURY WHOLE
-7994075,ACANTHUS MOLLIS L.
-7991834,SWEET GOLDENROD WHOLE
-7991077,CANDLEBERRY
-7992537,JAPANESE ANGELICA-TREE
-7995696,BOLDU CHILANUM WHOLE
-7993499,CHAMAEMELUM TANACETIFOLIUM WHOLE
-7998519,LION'S-EAR WHOLE
-7999603,PHASEOLUS SORDIDUS WHOLE
-7990912,CRAMPBARK WHOLE
-7992332,MITRAGYNA SPECIOSA
-7995915,CAPSELLA LOBULATA WHOLE
-7994633,LYCOPUS LONGIFOLIUS WHOLE
-7993628,HERPESTIS MONNIERI WHOLE
-7999931,B2040
-7993194,ROSA LITIGIOSA WHOLE
-7995660,NOTOPTERYGIUM RHIZOMA ET RADIX  WHOLE
-7998039,MENTHA HIRTIFLORA WHOLE
-7994500,ECHINACEA WHOLE
-7999304,AGRIMONIA HUMILIS WHOLE
-7993856,JUGLANS LACINIATA WHOLE
-7998440,SYMPHYTUM PEREGRINUM WHOLE
-7992172,FABA VULGARIS WHOLE
-7998533,LEONURUS CARDIACA EXTRACT
-7995700,BOLDO TREE
-7996034,BURSAE PASTORIS HERBA
-7997053,PROFESSORWEED
-7992146,DOG ROSE
-7992753,VITIS SUCCINEA WHOLE
-7993097,BIDENS ALBA WHOLE
-7993536,ACHILLEA MAGNA WHOLE
-7994508,ECHINACEA PURPUREA EXTRACT
-7993400,ORIGANUM THYMUS WHOLE
-7997900,PRUNELLA VULGARIS WHOLE
-7999617,CADELIUM VIRIDE WHOLE
-7997070,GALEGA BICOLOR WHOLE
-7996094,ESCHSCHOLZIA XYLORRHIZA WHOLE
-7993497,COMMON YARROW WHOLE
-7990924,PIPER SARMENTOSUM
-7995339,ARCTIUM LAPPA L.
-7991064,REN SHEN
-7990796,STAVE OAK
-7992990,MORINDA QUADRANGULARIS WHOLE
-7993203,ROSA GLAUCESCENS WHOLE
-7992716,BITTER ORANGE WHOLE
-7998441,SYMPHYTUM PATENS WHOLE
-7997058,GALEGA VULGARIS WHOLE
-7991395,OLEANDER
-7991480,PAUSINYSTALIA PACHYCERAS WHOLE
-7990679,COMMON CHAMOMILE
-7994156,KLAMATH WEED WHOLE
-7994664,ULMUS FULVA WHOLE
-7990916,CABBAGE PALM
-7998687,WALLIA NIGRA WHOLE
-7997122,B4OO71RTQ9
-7995709,RHEUM QINLINGENSE WHOLE
-7993558,ACHILLEA AMBIGUA WHOLE
-7997741,INSAM WHOLE
-7995017,ULMUS MODIOLINA WHOLE
-7995513,RAPHANISTRUM LAMPSANA WHOLE
-7993035,TICKSEED
-7993643,CALYTRIPLEX OBOVATA WHOLE
-7991832,INDIAN-MULBERRY
-7997200,ROMERO WHOLE
-7990654,BUR MEDIC
-7996157,ESCHSCHOLZIA CAESPITOSA WHOLE
-7999330,ACTAEA RACEMOSA L.
-7997430,SALVIA CERATOPHYLLOIDES WHOLE
-7999769,CURCUMA LONGA L.
-7993866,JUGLANS ARGUTA WHOLE
-7995228,CORALBERRY
-7993086,BIDENS HIRTA WHOLE
-7995047,SMALL CENTAURY
-7999232,CATARIA VULGARIS WHOLE
-7995988,CAPSELLA BOTTNICA WHOLE
-7995372,VITIS VINIFERA FLOWER
-7992145,BALSAMEA MUKUL WHOLE
-7995961,CAPSELLA DIODONTA WHOLE
-7997696,GALIUM CHONOSENSE WHOLE
-7995240,POOR MAN'S GINSENG WHOLE
-7997055,GOAT'S-RUE
-7997264,SIBERIAN GINSENG WHOLE
-7999702,APIUM LOBATUM WHOLE
-7999440,PSEUDOGNAPHALIUM OBTUSIFOLIUM WHOLE
-7997519,GUARANA
-7997052,PROFESSOR WEED
-7991724,ICHO
-7998530,LEONURUS CARDIACA L.
-7994039,FOMES PINICOLA WHOLE
-7995883,CAPSELLA POLYMORPHA WHOLE
-7992655,MARMALADE ORANGE WHOLE
-7999144,ADIANTUM FOVEARUM WHOLE
-7991529,POKEBERRY
-7990892,VIBURNUM OPULUS WHOLE
-7992947,PTELEA TRIFOLIATA WHOLE
-7995015,ULMUS NANA WHOLE
-7991786,PRUNUS ANSU WHOLE
-7990770,SHI LUO
-7990909,GUELDER ROSE WHOLE
